,index,Primary_applicant_age_in_years,Gender,Marital_status,Housing,Employed_for_at_least_years,Foreign_worker,SA_balance_type,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,high_risk_applicant
0,0,67,1,3,1,7,1,3,6,5,1169000,4,3,0,0,2,0
1,1,22,0,1,1,1,1,1,48,5,5951000,2,3,0,0,1,1
2,2,49,1,3,1,4,1,1,12,4,2096000,2,3,0,0,1,0
3,4,53,1,3,0,1,1,1,24,6,4870000,3,0,0,0,2,1
4,6,53,1,3,1,7,1,0,24,0,2835000,3,1,0,0,1,0
5,7,35,1,3,2,1,1,1,36,8,6948000,2,2,0,0,1,0
6,8,61,1,0,1,4,1,4,12,5,3059000,2,3,0,0,1,0
7,9,28,1,2,1,0,1,1,30,6,5234000,4,2,0,0,2,1
8,10,25,0,1,2,0,1,1,12,6,1295000,3,2,0,0,1,1
9,11,24,0,1,2,0,1,1,48,1,4308000,3,1,0,0,1,1
10,12,22,0,1,1,1,1,1,12,5,1567000,1,2,0,0,1,0
11,13,60,1,3,1,7,1,1,24,6,1199000,4,2,0,0,2,1
12,14,28,0,1,2,1,1,1,15,6,1403000,2,2,0,0,1,0
13,15,32,0,1,1,1,1,2,24,5,1282000,4,2,0,0,1,1
14,16,53,1,3,1,7,1,3,24,5,2424000,4,1,0,0,2,0
15,19,31,1,3,1,7,1,0,24,5,3430000,3,2,0,0,1,0
16,20,48,1,3,1,1,1,1,9,6,2134000,4,2,0,0,3,0
17,21,44,1,3,2,1,1,0,6,5,2647000,2,3,0,0,1,0
18,22,48,1,3,2,0,0,1,10,6,2241000,1,3,0,0,2,0
19,23,44,1,3,1,0,1,2,12,8,1804000,3,1,0,0,1,0
20,24,26,1,2,1,1,0,3,10,0,2069000,2,2,0,0,2,0
21,25,36,1,3,1,1,1,1,6,0,1374000,1,3,0,0,1,0
22,26,39,1,2,1,7,1,1,6,5,426000,4,2,0,0,1,0
23,27,42,0,1,2,1,1,4,12,5,409000,3,3,0,0,2,0
24,28,34,1,3,1,1,1,1,7,5,2415000,3,3,0,1,1,0
25,29,63,1,3,1,7,1,1,60,1,6836000,3,0,0,0,2,1
26,30,36,1,2,1,0,1,4,18,1,1913000,3,3,0,0,1,0
27,31,27,1,3,1,1,1,1,24,0,4020000,2,2,0,0,1,0
28,32,30,1,3,1,1,1,2,18,6,5866000,2,2,0,0,2,0
29,33,57,1,3,2,7,1,3,12,1,1264000,4,0,0,0,1,0
30,34,33,0,1,1,0,1,1,12,0,1474000,4,1,0,0,1,0
31,35,25,1,3,1,0,1,1,45,5,4746000,4,1,0,0,2,1
32,36,31,1,3,0,1,1,1,48,4,6110000,1,0,0,0,1,0
33,37,37,1,3,1,1,1,1,18,5,2100000,4,3,1,0,1,1
34,38,37,1,3,1,1,1,1,10,3,1225000,2,2,0,0,1,0
35,39,24,1,3,1,1,1,1,9,5,458000,4,3,0,0,1,0
36,40,30,1,3,1,7,1,0,30,5,2333000,4,2,0,0,1,0
37,41,26,1,0,1,1,1,0,12,5,1158000,3,2,0,0,1,0
38,42,44,1,3,1,1,1,1,18,7,6204000,2,3,0,0,1,0
39,43,24,1,2,2,4,1,2,30,8,6187000,1,2,0,0,2,0
40,44,58,0,1,0,7,1,1,48,8,6143000,4,0,0,0,2,1
41,45,35,0,1,1,0,1,1,11,6,1393000,4,2,0,0,2,0
42,46,39,1,3,1,7,1,0,36,5,2299000,4,2,0,0,1,0
43,47,23,0,1,2,0,1,0,6,8,1352000,1,1,0,0,1,0
44,48,39,1,3,1,1,1,1,11,6,7228000,1,1,0,0,2,0
45,49,28,0,1,1,1,1,2,12,5,2073000,4,3,1,0,1,0
46,50,29,1,3,1,0,1,3,24,0,2333000,4,1,0,0,1,0
47,51,30,1,3,1,7,1,1,27,8,5965000,1,2,0,0,2,0
48,52,25,1,3,1,1,1,1,12,5,1262000,3,2,0,0,1,0
49,53,31,1,3,1,1,1,3,18,8,3378000,2,1,0,0,1,0
50,54,57,1,3,0,7,1,1,36,6,2225000,4,0,0,0,2,1
51,55,26,1,3,1,1,1,3,6,6,783000,1,3,0,1,1,0
52,56,52,1,3,1,0,1,3,12,5,6468000,2,0,0,0,1,1
53,58,23,0,1,1,7,1,1,18,6,1961000,3,2,0,0,1,0
54,59,23,0,1,2,0,1,1,36,0,6229000,4,0,1,0,2,1
55,60,27,1,2,1,1,1,1,9,1,1391000,2,3,0,0,1,0
56,61,50,1,3,1,7,1,3,15,5,1537000,4,3,0,1,2,0
57,62,61,1,3,0,7,1,1,36,1,1953000,4,0,0,0,1,1
58,64,26,0,1,1,0,1,1,24,5,3181000,4,1,0,0,1,0
59,65,48,1,3,1,7,1,3,27,7,5190000,4,1,0,0,4,0
60,66,29,0,1,1,0,1,1,12,5,2171000,2,2,0,0,1,0
